,Skill,ExpSalary
184,Ручное тестирование,-72141.62259441492
185,Контроль качества,88288.8769775439
186,Веб-дизайн,80000.00000000151
187,Исследование пользователя,-91702.92257110638
188,Разработка интерфейсов,-92288.20745528703
189,Проектирование интерфейсов,228991.13002639398
190,Системы виртуализации,269337.2279683013
191,Сетевые технологии,-59534.29460710929
192,Tableau,571937.3617077069
193,Контент маркетинг,-60276.994663229125
194,Интернет маркетинг,-101425.92790787594
195,Flask,-197646.19924124586
196,Русский язык,-153906.8718706903
197,Технический перевод,-153906.8718706886
198,Копирайтинг,-112069.30509608123
199,C++ stl,-262403.9087633118
200,C++ boost,-262403.90876331483
201,TCP,534662.4748246592
202,HTTP,-125461.69577616213
203,Oracle,-275152.6837849662
204,Обслуживание клиентов,-314101.5383167433
205,ООП,-25661.89926440591
206,SCSS,24963.288493674198
207,Компьютерное зрение,-447386.41118909937
208,NumPy,-5716.750690391229
209,VMware,-26679.69415271317
210,Администрирование баз данных,-173710.02803910815
211,Express,-89735.02167758514
212,Дизайн лендингов,-37872.204507857336
213,Прототипирование,398405.84514221374
214,Адаптивный дизайн,-122071.68214085369
215,Дизайн логотипов,-37872.204507857154
216,Разработка фирменного стиля,-37872.204507859235
217,React Native,-71786.39255548082
218,Debian,-60536.34553287491
219,LDAP,-60536.34553287724
220,SSH,-60536.34553287926
221,Web,-35482.81629320177
222,Ubuntu,-60536.34553287993
223,Webpack,108649.3305294677
224,Redux,18627.051956003816
225,Nuxt.js,-11524.064599184683
226,Автоматизация процессов,-4147.11338248328
227,Корпоративные коммуникации,-54530.16230593421
228,Привлечение клиентов,-95349.40724929929
229,It-консультирование,-54530.16230593473
230,Развитие бизнеса,115255.5883493372
231,Ведение переговоров,74481.6390881432
232,Настройка Proxy,-54530.16230593517
233,Saas,202870.20263278185
234,Сопровождение проектов,-54530.16230593341
235,B2B,-140779.20825677735
236,CCNA,29365.132862086393
237,Mikrotik,29365.132862086924
238,Cisco CCNA,29365.132862084778
239,Администрирование сетей,29365.132862085997
240,Оптимизация бизнес-процессов,308387.81157167273
241,Поисковая оптимизация,-86649.66873858057
242,Google Analytics,169446.44383414614
243,Составление семантического ядра,-86649.66873857885
244,SOAP,37652.74867895699
245,Системная интеграция,-23599.16303814674
246,Firewall,-68358.27529091429
247,Настройка VPN,-68358.27529091443
248,GitHub,252358.19230024252
249,FastAPI,165925.7502502998
250,Celery,-316419.97146898124
251,NoSQL,24069.821352642444
252,Android SDK,60649.50354344491
253,Разработка под Android,66847.72023830147
254,Retrofit,-7182.49420765628
255,Glide,12526.651584088064
